Year,Review
2021,It's always a challenge when it comes to paying your bill. Honestly I can't stand trying to long in and paying my bill. This is the main reason why I don't use my GAP card!
2021,after this upgrade now it keeps taking me to the play store to update and reinstall the same update over and over every time i open the app its very annoying. Its worse tban before.
2021,Cannot look at anything on the app. It constantly empties my cart and signs me out. So frustrating and I can't use my rewards.
2023,It just doesn't work. What's the point of installing an app that takes literally forever to load and doesn't show you any products?
2023,I love shopping @ gap
2022,"Small lags in loading while shopping. But worse, when I hit checkout it wouldn't stop loading, and ultimately lost everything in my cart :("
2021,Everytime I want to shop it keeps telling something went wrong or to refresh the page. This is really starting to frustrate me
2021,"Can't even use after logging in. Closes out on me everytime- doesn't matter if I use Gap, Old Navy, BR, Athleta. All the same. Website is WAY better than this juvenile waste of an app"
2021,"Wont permit me in making a credit card payment, so frustrating! For the past weeks it gives me a go back & try again message."
2022,Updated the app 7/20/22. When app opens...little flower just spins. Never shows an item to purchase. What a money saver!
2023,This app is very buggy and I can't even sign in to my own account. You are better off using a browser instead of this app.
2022,I can't use the app only coupon because the app won't let me check out. I keep getting an error when I try.
2021,"Grrrrr there is a persistent error: ""something went wrong"". Cant see any items. What is the point of the app if I can't shop?!!"
2023,great choices of all cotton
2022,Constantly logs me out. What is the point off an app if I have to keep logging in? I might as well just open a webpage.
2023,My wallet and recent transactions are almost always not working correctly! Its very frustrating!
2022,"I love Gap. I love shopping at Gap However, this app is extremely frustrating. It does not allow me to check out."
2021,I do not like that after seeing one item it takes me back to the top of the page and have to find where I left off. And now I can't find the other apps like old navy.
2021,"The Gap app is convenient way to find Gap, BR, & Old Navy sale/clearance items all in one place and see new items worth trying on in the store."
2022,"The most annoying app ever. I love the brand but their app it's the worst. You have to put the password like 200,000 times."
2021,"Everytime I want to open the app, it takes me to Google play to update. This issue should be fixed asap."
2022,"I love Gap tshirts. Seems like the fit and material has gotten cheaper. Please go back to the vintage v-neck t,s!!"
2021,"Lot of issues with this new app version, one of them is once you click on payment methods i can see its coming ""Something went wrong"" always"
2022,The old one is better before fu*<$ng barclay take over there is something wrong with the apps and because of that i missed my payment and they charge me late fee ?????? thats how they rob you
2023,"Unusable app. Constantly loading and gets hung up. I try to use the app, then switch to the website"
2023,I *only* wear GAP! ?? always have ~ always will!
2022,"Stylish, good quality clothing for the whole family! Gap never disappoints, the atmosphere is family friendly!"
2021,I never had a problem until I updated to the new app. This new app is not working at all! I can't get into any dept. Please fix!
2021,"Almost every thing I wear is Gap or Old navy. Great quality, current styles, and you can't beat their prices!"
2023,"when you view items then try to return to list/grid, system resets randomly and you have to scroll all over again to find your viewed item again."
2023,Great quality clothing
2023,Best clothes around!
2022,"I have been a GAP customer since the early 80's! At 61 yrs young I still find great age appropriate clothes at Gap! Also, GAP has some great sales??"
2023,Yup this app is pretty much junk. Nothing ever loads aside from the homepage. I've uninstalled and reinstalled and nothing.
2022,"love the clothes and online ordering and easy/free returns. the app lags a bit, though."
2023,This is my store prices are cheap clothes are gorgeous
2023,It's pretty good. Would've been 5 stars if they allowed us to sign in with Google.
2023,Super buggy still...
2023,I like how u can access all the other brands in one app
2023,The app is not very user friendly
2023,Tired of this app. Hardly ever works and when it does it makes you re-sign in to your account every time you go to a new page.
2021,Crashes immediately after I try to enter the promotional code. Totally useless. Samsung Galaxy Note 9.
